Rome;2377,2379;3735,3735
Milan;2074;3253
Naples;2553;3872
Turin;1938;3295
Palermo;2465;4223
Genoa;2041;3393
Bologna;2276;3392
Florence;2265,2265;3486,3488
Venice;2369;3268
Bari;2816;3834
Catania;2643;4309
Verona;2245,2247;3264,3264
Messina;2693;4216
Padua;2325;3274
Trieste;2508;3239
Brescia;2183;3246
Parma;2180;3347
Taranto;2857;3919
Modena;2235;3370
Reggio Calabria;2701;4227
Reggio Emilia;2204;3359
Perugia;2361;3573
Ravenna;2359;3367
Livorno;2174;3512
Rimini;2390;3450
Cagliari;2029;4073
Foggia;2674;3779
Ferrara;2303;3347
Salerno;2605;3897
Monza;2075;3248
Sassari;1985;3876
Bergamo;2120;3237
Forli;2345;3421
Syracuze;2671;4371
Vicenza;2304;3256
Piacenza;2120;3310
Novara;2028;3262
Ancona;2481;3514
Udine;2448;3190
Andria;2767;3820
Arezzo;2307;3532
Cesena;2366;3441
Pesaro;2425;3473
Barletta;2753;3808
Alessandria;2018;3326
Pisa;2183;3491
Pistoia;2250;3476
Lucca;2195;3474
Catanzaro;2800;4138
Treviso;2362;3244
Como;2069;3205
Marsala;2368;4271
Corigliano-Rossano;2788;4027
Asti;1978;3330
Caserta;2549;3846
Ragusa;2607;4415
Pavia;2069;3290
Cremona;2154;3307
Imola;2313;3407
L'Aquila;2470;3675
Lamezia Terme;2758;4124
Viterbo;2334;3659
Trapani;2376;4245
Castellammare di Stabia;2576;3891
Vigevano;2068;3258
Fano;2431;3480
Caltanissetta;2511;4318
Faenza;2327;3416
Savona;2000;3405
Molfetta;2791;3826
Cerignola;2727;3820
Benevento;2581;3852
Cuneo;1900;3380
Foligno;2406;3595
Trani;2784;3822
Siena;2269;3546
Bisceglie;2788;3824
Modica;2620;4416
Rovigo;2306;3319
Paris;1516,1515;2747,2753
Marseille;1698;3514
Lyon;1688,1691;3180,3181
Toulouse;1332,1334;3419,3419
Nice;1886;3473
Nantes;1143;2902
Montpellier;1564;3457
Strasbourg;1983;2833
Bordeuax;1176;3225
Lille;1614;2525
Rennes;1156;2783
Reims;1670;2716
Toulon;1752;3541
Le Havre;1343;2635
Grenoble;1761;3266
Dijon;1725;2975
Angers;1237;2883
N?mes;1612;3429
Clermont-Ferrand;1534;3159
Aix-en-Provence;1709;3481
Brest;924;2694
Tours;1343;2914
Amiens;1535;2614
Limoges;1364;3129
Metz;1848;2751
Besan?on;1810;2999
Orl?ans;1463;2865
Rouen;1424,1426;2660,2659
Caen;1300;2664
Nancy;1840;2808
Avignon;1660;3418
Poitiers;1297;3015
Dunkirk;1546;2467
Versailles;1510;2756
B?ziers;1497;3483
La Rochelle;1154;3045
Ajaccio;2016;3714
Chartres;1439;2795
Bourges;1491;2979
Troyes;1661;2842
Montauban;1336;3369
Niort;1183;3019
Chamb?ry;1784;3218
Lorient;1002;2802
Beauvais;1520;2675
Saint-Quentin;1606;2623
Bayonne;1061;3383
Agen;1270;3333
Arles;1639;3455
Vienne;1690;3214
Angoul?me;1259;3134
Blois;1408;2897
Nevers;1557;3002
Lisbon;151;3827
Viana do Castelo;294;3453
Porto;289;3525
Braga;326;3479
Coimbra;276;3655
Santar?m;216;3775
Vila Nova de Gaia;290;3528
Guimar?es;335;3489
Santa Maria da Feira;294;5440
Lagos;140;4053
Set?bal;170;3861
Barcelos;299;3486
Viseu;312;3598
Faro;220;4093
Castelo Branco;344;3737
Beja;248;3927
Lamego;376;3551
Chaves;428;3478
Portalegre;343;3806
Madrid;753;3742
Barcelona;1359;3725
Valencia;1062,1062;3935,3938
Sevilla;426,428;4089,409
Bilbao;907;3382
M?laga;571;4215
Oviedo;631;3309
Alicante;1031;4085
Zaragoza;1068;3639
Murcia;953;4122
Granada;671;4175
Cartagena;956;4180
C?diz;378,378;4191,4193
A Coru?a;393;3249
Valladolid;654;3573
Tarragona;1263;3748
Reus;1261;3746
C?rdoba;569;4056
Pamplona;1026;3473
Castell?n de la Plana;1111;3882
Santander;832;3340
Huelva;318;4091
Santiago de Compostela;366;3302
Antwerp;1732;2462
Ghent;1670;2471
Li?ge;1816,1818;2550,2552
Brussels;1705;2501
Bruges;1636;2450
Namur;1733;2518
Leuven;1753;2508
Mons;1680;2554
Alost;1708;2498
Malines;1732;2476
Courtrai;1631;2501
Tournai;1640;2528
Verviers;1825;2553
Ypres;1603;2495
Luxembourg;1851;2690
Amsterdam;1793;2316
Rotterdam;1743,1742;2372,2374
The Hague;1739;2349
Utrecht;1806;2355
Groningen;1939;2210
Nijmegen;1860;2396
Haarlem;1779;2316
's-Hertogenbosch;1800;2405
Zwolle;1889;2297
Leiden;1751;2341
Leeuwarden;1881;2224
Maastricht;1834;2519
Dordrecht;1761;2386
Berlin;2467;2338
Hamburg;2203,2203;2193,2195
Munich;2305;2911
Cologne;1939;2519
Frankfurt;2071;2640
Stuttgart;2107;2815
D?sseldorf;1928;2482
Leipzig;2382,2384;2494,2494
Bremen;2107;2250
Dresden;2496,2497;2529,2528
Hanover;2175;2349
Nuremberg;2264;2738
Wuppertal;1942;2480
M?nster;2006;2392
Mannheim;2047;2719
Augsburg;2251;2873
Aachen;1867;2538
Brunswick;2238;2368
Magdeburg;2328;2390
Mainz;2038;2653
L?beck;2268;2151
Erfurt;2273;2537
Kassel;2149;2491
Postdam;2441;2353
Regensburg;2351;2798
W?rzburg;2176;2689
Zurich;2032;2997
Geneva;1808;3133
Basel;1949;2966
Bern;1930;3048
Innsbruck;2288;3024
Vienna;2725,2726;2898,2896
Graz;2651;3051
Linz;2542;2893
Salzburg;2432;2956
Instanbul;3985;3695
Moscow;4216,4216;1679,1682
London;1371,1371;2371,2373
St. Petersburg;3563,3564;1245,1247
Kyiv;3873;2474
Minsk;3550;2079
Bratislava;2787;2908
Laibach;2563;3178
Sarajevo;2947;3463
Belgrade;3130;3325
Tirana;3097;3739
Thessaloniki;3416;3844
Heraklion;3727;4500
Bucharest;3650;3311
Cluj-Napoca;3377;3035
Ia?i;3712;2932
Budapest;2964,2966;2980,298
Warsaw;3074;2348
Wroc?aw;2763;2520
Szczecin;2562;2222
Danzig;2871;2080
Poznan;2751;2350
Krak?w;3014;2645
Elbl?g;2931;2110
Prague;2552,2554;2657,2657
Br?nn;2740;2772
Copenhagen;2409;1919
Bergen;1954;1283
Trondheim;2302;929
Stockholm;2780;1451
Gothenburg;2373;1660
Birmingham;1249;2220
Leeds;1312;2055
Liverpool;1190;2078
Sheffield;1308;2107
Machester;1249;2083
Bristol;1171;2339
Leicester;1313;2213
Coventry;1261;2230
Nottingham;1321;2171
Newcastle;1336;1901
Derby;1318;2173
Hull;1401;2080
Wolverhampton;1245;2217
Portsmouth;1273;2441
Norwich;1500;2243
Milton Keynes;1348;2274
Bolton;1245;2079
Oxford;1280,1283;2321,2321
Sunderland;1355;1906
Cambridge;1399;2271
York;1351;2039
Plymouth;1015;2449
Exeter;1075;2417
Winchester;1262;2409
Canterbury;1458;2418
Dover;1478;2438
Carlisle;1230;1889
Chester;1193;2114
Edinburgh;1246;1751
Glasgow;1163;1748
Aberdeen;1354;1616
Belfast;1003;1875
Dublin;935,935;2030,2032
Cork;713;2169
K?nigsberg;2999;2033
Vilnius;3364;1992
Riga;3241;1715
Tallinn;3237;1399
Kharkiv;4344;2419
Kazan;4980;1365
Nizhny Novgorod;4611;1451
Saratov;5021;5440
Yaroslav;4289;1396
Tula;4274;1865
Smolensk;3856;1898
Astrakhan;5479;2497
Tbilisi;5438,5438;3166,3169
Izmir;4083;3707
Bursa;4019;3797
